scenario_id,weather,device,competition,forecasting,probability,revenue_multiplier,revenue_per_vehicle,weather_events,grid_events,device_uptime,price_multiplier,saf_multiplier
normal_winter_baseline_uptime_normal_competition_critical_miss,normal_winter,baseline_uptime,normal_competition,critical_miss,0.009,0.4,59.756,40,40,0.9,1.0,0.4
normal_winter_baseline_uptime_high_competition_poor_accuracy,normal_winter,baseline_uptime,high_competition,poor_accuracy,0.009,0.595,88.88704999999999,40,40,0.9,0.85,0.7
normal_winter_degraded_uptime_normal_competition_poor_accuracy,normal_winter,degraded_uptime,normal_competition,poor_accuracy,0.0081,0.6223,92.96539699999998,40,40,0.8,1.0,0.7
harsh_winter_crisis_baseline_uptime_high_competition_excellent_accuracy,harsh_winter_crisis,baseline_uptime,high_competition,excellent_accuracy,0.008000000000000002,1.6575,247.61392499999997,60,60,0.9,0.85,1.0
harsh_winter_crisis_baseline_uptime_low_competition_excellent_accuracy,harsh_winter_crisis,baseline_uptime,low_competition,excellent_accuracy,0.008000000000000002,2.2424999999999997,335.00707499999993,60,60,0.9,1.15,1.0
harsh_winter_crisis_baseline_uptime_low_competition_good_accuracy,harsh_winter_crisis,baseline_uptime,low_competition,good_accuracy,0.008000000000000002,2.0182499999999997,301.5063674999999,60,60,0.9,1.15,0.9
harsh_winter_crisis_baseline_uptime_high_competition_good_accuracy,harsh_winter_crisis,baseline_uptime,high_competition,good_accuracy,0.008000000000000002,1.49175,222.85253249999997,60,60,0.9,0.85,0.9
normal_winter_degraded_uptime_low_competition_excellent_accuracy,normal_winter,degraded_uptime,low_competition,excellent_accuracy,0.0072,1.0223499999999999,152.72886649999995,40,40,0.8,1.15,1.0
harsh_winter_crisis_degraded_uptime_normal_competition_excellent_accuracy,harsh_winter_crisis,degraded_uptime,normal_competition,excellent_accuracy,0.0072,1.73355,258.9750345,60,60,0.8,1.0,1.0
normal_winter_critical_failure_normal_competition_excellent_accuracy,normal_winter,critical_failure,normal_competition,excellent_accuracy,0.0072,0.667,99.64313,40,40,0.6,1.0,1.0
normal_winter_degraded_uptime_low_competition_good_accuracy,normal_winter,degraded_uptime,low_competition,good_accuracy,0.0072,0.9201149999999999,137.45597984999998,40,40,0.8,1.15,0.9
harsh_winter_crisis_degraded_uptime_normal_competition_good_accuracy,harsh_winter_crisis,degraded_uptime,normal_competition,good_accuracy,0.0072,1.560195,233.07753104999998,60,60,0.8,1.0,0.9
normal_winter_critical_failure_normal_competition_good_accuracy,normal_winter,critical_failure,normal_competition,good_accuracy,0.0072,0.6003000000000001,89.678817,40,40,0.6,1.0,0.9
normal_winter_degraded_uptime_high_competition_good_accuracy,normal_winter,degraded_uptime,high_competition,good_accuracy,0.0072,0.680085,101.59789814999999,40,40,0.8,0.85,0.9
normal_winter_degraded_uptime_high_competition_excellent_accuracy,normal_winter,degraded_uptime,high_competition,excellent_accuracy,0.0072,0.75565,112.88655349999999,40,40,0.8,0.85,1.0
mild_winter_low_demand_baseline_uptime_normal_competition_poor_accuracy,mild_winter_low_demand,baseline_uptime,normal_competition,poor_accuracy,0.00675,0.315,47.057849999999995,20,20,0.9,1.0,0.7
mild_winter_low_demand_baseline_uptime_high_competition_good_accuracy,mild_winter_low_demand,baseline_uptime,high_competition,good_accuracy,0.006,0.34425,51.4275075,20,20,0.9,0.85,0.9
mild_summer_baseline_uptime_normal_competition_excellent_accuracy,mild_summer,baseline_uptime,normal_competition,excellent_accuracy,0.006,0.21,31.371899999999997,10,10,0.9,1.0,1.0
mild_summer_baseline_uptime_normal_competition_good_accuracy,mild_summer,baseline_uptime,normal_competition,good_accuracy,0.006,0.189,28.234709999999996,10,10,0.9,1.0,0.9
mild_winter_low_demand_baseline_uptime_low_competition_good_accuracy,mild_winter_low_demand,baseline_uptime,low_competition,good_accuracy,0.006,0.46575,69.57839249999999,20,20,0.9,1.15,0.9
mild_winter_low_demand_baseline_uptime_low_competition_excellent_accuracy,mild_winter_low_demand,baseline_uptime,low_competition,excellent_accuracy,0.006,0.5175,77.30932499999999,20,20,0.9,1.15,1.0
mild_winter_low_demand_baseline_uptime_high_competition_excellent_accuracy,mild_winter_low_demand,baseline_uptime,high_competition,excellent_accuracy,0.006,0.3825,57.141675,20,20,0.9,0.85,1.0
mild_winter_low_demand_degraded_uptime_normal_competition_excellent_accuracy,mild_winter_low_demand,degraded_uptime,normal_competition,excellent_accuracy,0.0054,0.40005,59.7634695,20,20,0.8,1.0,1.0
normal_winter_high_uptime_normal_competition_critical_miss,normal_winter,high_uptime,normal_competition,critical_miss,0.0054,0.4132,61.727948,40,40,0.93,1.0,0.4
mild_winter_low_demand_degraded_uptime_normal_competition_good_accuracy,mild_winter_low_demand,degraded_uptime,normal_competition,good_accuracy,0.0054,0.360045,53.78712254999999,20,20,0.8,1.0,0.9
harsh_winter_crisis_high_uptime_normal_competition_poor_accuracy,harsh_winter_crisis,high_uptime,normal_competition,poor_accuracy,0.005399999999999999,1.4100449999999998,210.64662254999993,60,60,0.93,1.0,0.7
normal_winter_high_uptime_low_competition_poor_accuracy,normal_winter,high_uptime,low_competition,poor_accuracy,0.005399999999999999,0.8315649999999999,124.22749534999997,40,40,0.93,1.15,0.7
normal_winter_high_uptime_high_competition_poor_accuracy,normal_winter,high_uptime,high_competition,poor_accuracy,0.005399999999999999,0.6146349999999999,91.82032264999998,40,40,0.93,0.85,0.7
harsh_winter_crisis_high_uptime_low_competition_good_accuracy,harsh_winter_crisis,high_uptime,low_competition,good_accuracy,0.0048000000000000004,2.0848522499999995,311.4560776274999,60,60,0.93,1.15,0.9
harsh_winter_crisis_high_uptime_low_competition_excellent_accuracy,harsh_winter_crisis,high_uptime,low_competition,excellent_accuracy,0.0048000000000000004,2.3165024999999995,346.0623084749999,60,60,0.93,1.15,1.0
harsh_winter_crisis_high_uptime_high_competition_good_accuracy,harsh_winter_crisis,high_uptime,high_competition,good_accuracy,0.0048000000000000004,1.54097775,230.20666607249996,60,60,0.93,0.85,0.9
harsh_winter_crisis_high_uptime_high_competition_excellent_accuracy,harsh_winter_crisis,high_uptime,high_competition,excellent_accuracy,0.0048000000000000004,1.7121974999999998,255.78518452499995,60,60,0.93,0.85,1.0
mild_winter_low_demand_high_uptime_normal_competition_poor_accuracy,mild_winter_low_demand,high_uptime,normal_competition,poor_accuracy,0.00405,0.325395,48.61075904999999,20,20,0.93,1.0,0.7
mild_winter_low_demand_high_uptime_high_competition_good_accuracy,mild_winter_low_demand,high_uptime,high_competition,good_accuracy,0.0036,0.35561025,53.124615247499996,20,20,0.93,0.85,0.9
mild_winter_low_demand_high_uptime_low_competition_excellent_accuracy,mild_winter_low_demand,high_uptime,low_competition,excellent_accuracy,0.0036,0.5345774999999999,79.86053272499998,20,20,0.93,1.15,1.0
mild_summer_high_uptime_normal_competition_good_accuracy,mild_summer,high_uptime,normal_competition,good_accuracy,0.0036,0.195237,29.166455429999996,10,10,0.93,1.0,0.9
mild_winter_low_demand_high_uptime_low_competition_good_accuracy,mild_winter_low_demand,high_uptime,low_competition,good_accuracy,0.0036,0.48111974999999996,71.87447945249998,20,20,0.93,1.15,0.9
mild_winter_low_demand_high_uptime_high_competition_excellent_accuracy,mild_winter_low_demand,high_uptime,high_competition,excellent_accuracy,0.0036,0.3951225,59.02735027499999,20,20,0.93,0.85,1.0
mild_summer_high_uptime_normal_competition_excellent_accuracy,mild_summer,high_uptime,normal_competition,excellent_accuracy,0.0036,0.21692999999999998,32.4071727,10,10,0.93,1.0,1.0
harsh_winter_crisis_baseline_uptime_low_competition_poor_accuracy,harsh_winter_crisis,baseline_uptime,low_competition,poor_accuracy,0.0030000000000000005,1.5697499999999998,234.50495249999994,60,60,0.9,1.15,0.7
harsh_winter_crisis_baseline_uptime_high_competition_poor_accuracy,harsh_winter_crisis,baseline_uptime,high_competition,poor_accuracy,0.0030000000000000005,1.16025,173.3297475,60,60,0.9,0.85,0.7
normal_winter_baseline_uptime_low_competition_critical_miss,normal_winter,baseline_uptime,low_competition,critical_miss,0.003,0.45999999999999996,68.7194,40,40,0.9,1.15,0.4
harsh_winter_crisis_baseline_uptime_normal_competition_critical_miss,harsh_winter_crisis,baseline_uptime,normal_competition,critical_miss,0.003,0.78,116.5242,60,60,0.9,1.0,0.4
normal_winter_baseline_uptime_high_competition_critical_miss,normal_winter,baseline_uptime,high_competition,critical_miss,0.003,0.34,50.7926,40,40,0.9,0.85,0.4
normal_winter_degraded_uptime_normal_competition_critical_miss,normal_winter,degraded_uptime,normal_competition,critical_miss,0.0027,0.3556,53.123084,40,40,0.8,1.0,0.4
normal_winter_degraded_uptime_high_competition_poor_accuracy,normal_winter,degraded_uptime,high_competition,poor_accuracy,0.0026999999999999997,0.528955,79.02058744999998,40,40,0.8,0.85,0.7
normal_winter_critical_failure_normal_competition_poor_accuracy,normal_winter,critical_failure,normal_competition,poor_accuracy,0.0026999999999999997,0.4669,69.75019099999999,40,40,0.6,1.0,0.7
harsh_winter_crisis_degraded_uptime_normal_competition_poor_accuracy,harsh_winter_crisis,degraded_uptime,normal_competition,poor_accuracy,0.0026999999999999997,1.213485,181.28252414999997,60,60,0.8,1.0,0.7
normal_winter_degraded_uptime_low_competition_poor_accuracy,normal_winter,degraded_uptime,low_competition,poor_accuracy,0.0026999999999999997,0.7156449999999999,106.91020654999997,40,40,0.8,1.15,0.7
harsh_winter_crisis_critical_failure_normal_competition_good_accuracy,harsh_winter_crisis,critical_failure,normal_competition,good_accuracy,0.0024000000000000007,1.1705850000000002,174.87369315,60,60,0.6,1.0,0.9
harsh_winter_crisis_critical_failure_normal_competition_excellent_accuracy,harsh_winter_crisis,critical_failure,normal_competition,excellent_accuracy,0.0024000000000000007,1.30065,194.3041035,60,60,0.6,1.0,1.0
harsh_winter_crisis_degraded_uptime_high_competition_excellent_accuracy,harsh_winter_crisis,degraded_uptime,high_competition,excellent_accuracy,0.0024000000000000002,1.4735174999999998,220.12877932499995,60,60,0.8,0.85,1.0
harsh_winter_crisis_degraded_uptime_high_competition_good_accuracy,harsh_winter_crisis,degraded_uptime,high_competition,good_accuracy,0.0024000000000000002,1.32616575,198.11590139249998,60,60,0.8,0.85,0.9
normal_winter_critical_failure_low_competition_excellent_accuracy,normal_winter,critical_failure,low_competition,excellent_accuracy,0.0024000000000000002,0.76705,114.58959949999999,40,40,0.6,1.15,1.0
harsh_winter_crisis_degraded_uptime_low_competition_good_accuracy,harsh_winter_crisis,degraded_uptime,low_competition,good_accuracy,0.0024000000000000002,1.7942242499999999,268.03916070749995,60,60,0.8,1.15,0.9
harsh_winter_crisis_degraded_uptime_low_competition_excellent_accuracy,harsh_winter_crisis,degraded_uptime,low_competition,excellent_accuracy,0.0024000000000000002,1.9935824999999998,297.82128967499995,60,60,0.8,1.15,1.0
normal_winter_critical_failure_high_competition_good_accuracy,normal_winter,critical_failure,high_competition,good_accuracy,0.0024000000000000002,0.5102550000000001,76.22699445,40,40,0.6,0.85,0.9
normal_winter_critical_failure_low_competition_good_accuracy,normal_winter,critical_failure,low_competition,good_accuracy,0.0024000000000000002,0.690345,103.13063954999998,40,40,0.6,1.15,0.9
normal_winter_critical_failure_high_competition_excellent_accuracy,normal_winter,critical_failure,high_competition,excellent_accuracy,0.0024000000000000002,0.5669500000000001,84.69666050000001,40,40,0.6,0.85,1.0
mild_winter_low_demand_baseline_uptime_high_competition_poor_accuracy,mild_winter_low_demand,baseline_uptime,high_competition,poor_accuracy,0.00225,0.26775,39.99917249999999,20,20,0.9,0.85,0.7
mild_winter_low_demand_baseline_uptime_normal_competition_critical_miss,mild_winter_low_demand,baseline_uptime,normal_competition,critical_miss,0.00225,0.18000000000000002,26.8902,20,20,0.9,1.0,0.4
mild_summer_baseline_uptime_normal_competition_poor_accuracy,mild_summer,baseline_uptime,normal_competition,poor_accuracy,0.00225,0.147,21.960329999999995,10,10,0.9,1.0,0.7
mild_winter_low_demand_baseline_uptime_low_competition_poor_accuracy,mild_winter_low_demand,baseline_uptime,low_competition,poor_accuracy,0.00225,0.36224999999999996,54.11652749999999,20,20,0.9,1.15,0.7
mild_winter_low_demand_degraded_uptime_normal_competition_poor_accuracy,mild_winter_low_demand,degraded_uptime,normal_competition,poor_accuracy,0.002025,0.280035,41.83442864999999,20,20,0.8,1.0,0.7
mild_summer_baseline_uptime_high_competition_good_accuracy,mild_summer,baseline_uptime,high_competition,good_accuracy,0.0020000000000000005,0.16065,23.999503499999996,10,10,0.9,0.85,0.9
mild_summer_baseline_uptime_low_competition_good_accuracy,mild_summer,baseline_uptime,low_competition,good_accuracy,0.0020000000000000005,0.21734999999999996,32.46991649999999,10,10,0.9,1.15,0.9
mild_summer_baseline_uptime_high_competition_excellent_accuracy,mild_summer,baseline_uptime,high_competition,excellent_accuracy,0.0020000000000000005,0.1785,26.666114999999998,10,10,0.9,0.85,1.0
mild_summer_baseline_uptime_low_competition_excellent_accuracy,mild_summer,baseline_uptime,low_competition,excellent_accuracy,0.0020000000000000005,0.24149999999999996,36.07768499999999,10,10,0.9,1.15,1.0
normal_winter_high_uptime_high_competition_critical_miss,normal_winter,high_uptime,high_competition,critical_miss,0.0018,0.35122,52.46875579999999,40,40,0.93,0.85,0.4
normal_winter_high_uptime_low_competition_critical_miss,normal_winter,high_uptime,low_competition,critical_miss,0.0018,0.47517999999999994,70.98714019999998,40,40,0.93,1.15,0.4
mild_summer_degraded_uptime_normal_competition_excellent_accuracy,mild_summer,degraded_uptime,normal_competition,excellent_accuracy,0.0018,0.18669,27.889619099999997,10,10,0.8,1.0,1.0
mild_winter_low_demand_degraded_uptime_high_competition_excellent_accuracy,mild_winter_low_demand,degraded_uptime,high_competition,excellent_accuracy,0.0018,0.3400425,50.798949074999996,20,20,0.8,0.85,1.0
mild_winter_low_demand_critical_failure_normal_competition_good_accuracy,mild_winter_low_demand,critical_failure,normal_competition,good_accuracy,0.0018,0.270135,40.35546765,20,20,0.6,1.0,0.9
mild_winter_low_demand_critical_failure_normal_competition_excellent_accuracy,mild_winter_low_demand,critical_failure,normal_competition,excellent_accuracy,0.0018,0.30015000000000003,44.8394085,20,20,0.6,1.0,1.0
harsh_winter_crisis_high_uptime_high_competition_poor_accuracy,harsh_winter_crisis,high_uptime,high_competition,poor_accuracy,0.0018,1.1985382499999997,179.04962916749994,60,60,0.93,0.85,0.7
harsh_winter_crisis_high_uptime_low_competition_poor_accuracy,harsh_winter_crisis,high_uptime,low_competition,poor_accuracy,0.0018,1.6215517499999996,242.24361593249992,60,60,0.93,1.15,0.7
mild_winter_low_demand_degraded_uptime_low_competition_good_accuracy,mild_winter_low_demand,degraded_uptime,low_competition,good_accuracy,0.0018,0.41405175,61.855190932499994,20,20,0.8,1.15,0.9
mild_winter_low_demand_degraded_uptime_low_competition_excellent_accuracy,mild_winter_low_demand,degraded_uptime,low_competition,excellent_accuracy,0.0018,0.4600575,68.72798992499999,20,20,0.8,1.15,1.0
mild_winter_low_demand_degraded_uptime_high_competition_good_accuracy,mild_winter_low_demand,degraded_uptime,high_competition,good_accuracy,0.0018,0.30603825,45.7190541675,20,20,0.8,0.85,0.9
harsh_winter_crisis_high_uptime_normal_competition_critical_miss,harsh_winter_crisis,high_uptime,normal_competition,critical_miss,0.0018,0.80574,120.36949859999999,60,60,0.93,1.0,0.4
mild_summer_degraded_uptime_normal_competition_good_accuracy,mild_summer,degraded_uptime,normal_competition,good_accuracy,0.0018,0.168021,25.10065719,10,10,0.8,1.0,0.9
mild_winter_low_demand_high_uptime_normal_competition_critical_miss,mild_winter_low_demand,high_uptime,normal_competition,critical_miss,0.00135,0.18594,27.777576599999996,20,20,0.93,1.0,0.4
mild_winter_low_demand_high_uptime_low_competition_poor_accuracy,mild_winter_low_demand,high_uptime,low_competition,poor_accuracy,0.0013499999999999999,0.3742042499999999,55.90237290749998,20,20,0.93,1.15,0.7
mild_summer_high_uptime_normal_competition_poor_accuracy,mild_summer,high_uptime,normal_competition,poor_accuracy,0.0013499999999999999,0.15185099999999999,22.685020889999997,10,10,0.93,1.0,0.7
mild_winter_low_demand_high_uptime_high_competition_poor_accuracy,mild_winter_low_demand,high_uptime,high_competition,poor_accuracy,0.0013499999999999999,0.27658574999999996,41.31914519249999,20,20,0.93,0.85,0.7
mild_summer_high_uptime_high_competition_good_accuracy,mild_summer,high_uptime,high_competition,good_accuracy,0.0012000000000000001,0.16595145,24.791487115499997,10,10,0.93,0.85,0.9
mild_summer_high_uptime_high_competition_excellent_accuracy,mild_summer,high_uptime,high_competition,excellent_accuracy,0.0012000000000000001,0.18439049999999998,27.546096794999997,10,10,0.93,0.85,1.0
mild_summer_high_uptime_low_competition_good_accuracy,mild_summer,high_uptime,low_competition,good_accuracy,0.0012000000000000001,0.22452254999999996,33.541423744499994,10,10,0.93,1.15,0.9
mild_summer_high_uptime_low_competition_excellent_accuracy,mild_summer,high_uptime,low_competition,excellent_accuracy,0.0012000000000000001,0.24946949999999996,37.26824860499999,10,10,0.93,1.15,1.0
harsh_winter_crisis_baseline_uptime_high_competition_critical_miss,harsh_winter_crisis,baseline_uptime,high_competition,critical_miss,0.0010000000000000002,0.663,99.04557,60,60,0.9,0.85,0.4
harsh_winter_crisis_baseline_uptime_low_competition_critical_miss,harsh_winter_crisis,baseline_uptime,low_competition,critical_miss,0.0010000000000000002,0.8969999999999999,134.00282999999996,60,60,0.9,1.15,0.4
harsh_winter_crisis_critical_failure_normal_competition_poor_accuracy,harsh_winter_crisis,critical_failure,normal_competition,poor_accuracy,0.0009000000000000001,0.910455,136.01287245,60,60,0.6,1.0,0.7
normal_winter_degraded_uptime_high_competition_critical_miss,normal_winter,degraded_uptime,high_competition,critical_miss,0.0009,0.30226000000000003,45.1546214,40,40,0.8,0.85,0.4
normal_winter_degraded_uptime_low_competition_critical_miss,normal_winter,degraded_uptime,low_competition,critical_miss,0.0009,0.40893999999999997,61.09154659999999,40,40,0.8,1.15,0.4
harsh_winter_crisis_degraded_uptime_high_competition_poor_accuracy,harsh_winter_crisis,degraded_uptime,high_competition,poor_accuracy,0.0009,1.03146225,154.09014552749997,60,60,0.8,0.85,0.7
normal_winter_critical_failure_normal_competition_critical_miss,normal_winter,critical_failure,normal_competition,critical_miss,0.0009,0.26680000000000004,39.857252,40,40,0.6,1.0,0.4
harsh_winter_crisis_degraded_uptime_low_competition_poor_accuracy,harsh_winter_crisis,degraded_uptime,low_competition,poor_accuracy,0.0009,1.3955077499999997,208.47490277249995,60,60,0.8,1.15,0.7
normal_winter_critical_failure_low_competition_poor_accuracy,normal_winter,critical_failure,low_competition,poor_accuracy,0.0009,0.5369349999999999,80.21271964999998,40,40,0.6,1.15,0.7
normal_winter_critical_failure_high_competition_poor_accuracy,normal_winter,critical_failure,high_competition,poor_accuracy,0.0009,0.396865,59.28766235,40,40,0.6,0.85,0.7
harsh_winter_crisis_degraded_uptime_normal_competition_critical_miss,harsh_winter_crisis,degraded_uptime,normal_competition,critical_miss,0.0009,0.69342,103.5900138,60,60,0.8,1.0,0.4
harsh_winter_crisis_critical_failure_low_competition_excellent_accuracy,harsh_winter_crisis,critical_failure,low_competition,excellent_accuracy,0.0008000000000000003,1.4957475,223.44971902499998,60,60,0.6,1.15,1.0
harsh_winter_crisis_critical_failure_high_competition_excellent_accuracy,harsh_winter_crisis,critical_failure,high_competition,excellent_accuracy,0.0008000000000000003,1.1055525,165.15848797499999,60,60,0.6,0.85,1.0
harsh_winter_crisis_critical_failure_high_competition_good_accuracy,harsh_winter_crisis,critical_failure,high_competition,good_accuracy,0.0008000000000000003,0.9949972499999999,148.64263917749997,60,60,0.6,0.85,0.9
harsh_winter_crisis_critical_failure_low_competition_good_accuracy,harsh_winter_crisis,critical_failure,low_competition,good_accuracy,0.0008000000000000003,1.34617275,201.1047471225,60,60,0.6,1.15,0.9
mild_summer_baseline_uptime_low_competition_poor_accuracy,mild_summer,baseline_uptime,low_competition,poor_accuracy,0.0007500000000000001,0.16904999999999998,25.254379499999995,10,10,0.9,1.15,0.7
mild_summer_baseline_uptime_high_competition_poor_accuracy,mild_summer,baseline_uptime,high_competition,poor_accuracy,0.0007500000000000001,0.12494999999999999,18.666280499999996,10,10,0.9,0.85,0.7
mild_winter_low_demand_baseline_uptime_high_competition_critical_miss,mild_winter_low_demand,baseline_uptime,high_competition,critical_miss,0.00075,0.15300000000000002,22.85667,20,20,0.9,0.85,0.4
mild_winter_low_demand_baseline_uptime_low_competition_critical_miss,mild_winter_low_demand,baseline_uptime,low_competition,critical_miss,0.00075,0.207,30.923729999999995,20,20,0.9,1.15,0.4
mild_summer_baseline_uptime_normal_competition_critical_miss,mild_summer,baseline_uptime,normal_competition,critical_miss,0.00075,0.084,12.54876,10,10,0.9,1.0,0.4
mild_winter_low_demand_degraded_uptime_normal_competition_critical_miss,mild_winter_low_demand,degraded_uptime,normal_competition,critical_miss,0.000675,0.16002000000000002,23.9053878,20,20,0.8,1.0,0.4
mild_summer_degraded_uptime_normal_competition_poor_accuracy,mild_summer,degraded_uptime,normal_competition,poor_accuracy,0.0006749999999999999,0.130683,19.522733369999997,10,10,0.8,1.0,0.7
mild_winter_low_demand_degraded_uptime_low_competition_poor_accuracy,mild_winter_low_demand,degraded_uptime,low_competition,poor_accuracy,0.0006749999999999999,0.32204025,48.10959294749999,20,20,0.8,1.15,0.7
mild_winter_low_demand_degraded_uptime_high_competition_poor_accuracy,mild_winter_low_demand,degraded_uptime,high_competition,poor_accuracy,0.0006749999999999999,0.23802975,35.5592643525,20,20,0.8,0.85,0.7
mild_winter_low_demand_critical_failure_normal_competition_poor_accuracy,mild_winter_low_demand,critical_failure,normal_competition,poor_accuracy,0.0006749999999999999,0.21010500000000001,31.38758595,20,20,0.6,1.0,0.7
mild_summer_critical_failure_normal_competition_excellent_accuracy,mild_summer,critical_failure,normal_competition,excellent_accuracy,0.0006000000000000002,0.14007,20.9250573,10,10,0.6,1.0,1.0
mild_summer_critical_failure_normal_competition_good_accuracy,mild_summer,critical_failure,normal_competition,good_accuracy,0.0006000000000000002,0.126063,18.83255157,10,10,0.6,1.0,0.9
mild_winter_low_demand_critical_failure_low_competition_excellent_accuracy,mild_winter_low_demand,critical_failure,low_competition,excellent_accuracy,0.0006000000000000001,0.3451725,51.56531977499999,20,20,0.6,1.15,1.0
mild_winter_low_demand_critical_failure_high_competition_excellent_accuracy,mild_winter_low_demand,critical_failure,high_competition,excellent_accuracy,0.0006000000000000001,0.2551275,38.113497224999996,20,20,0.6,0.85,1.0
mild_summer_degraded_uptime_low_competition_excellent_accuracy,mild_summer,degraded_uptime,low_competition,excellent_accuracy,0.0006000000000000001,0.21469349999999998,32.073061964999994,10,10,0.8,1.15,1.0
mild_winter_low_demand_critical_failure_low_competition_good_accuracy,mild_winter_low_demand,critical_failure,low_competition,good_accuracy,0.0006000000000000001,0.31065525,46.4087877975,20,20,0.6,1.15,0.9
mild_winter_low_demand_critical_failure_high_competition_good_accuracy,mild_winter_low_demand,critical_failure,high_competition,good_accuracy,0.0006000000000000001,0.22961475,34.3021475025,20,20,0.6,0.85,0.9
