vehicle_id,vehicle_class,make_model,battery_capacity_kwh,usable_battery_kwh,vehicle_max_ac_kw,home_cp_type_kw,effective_cp_max_kw,charging_efficiency,cp_min_kw,base_efficiency_wh_km,seasonal_efficiency_factor,season,daily_mileage_km,plug_in_time,plug_out_time,return_soc,energy_to_charge_kwh,target_soc,required_charging_hours,flexibility_margin_hours,behavioral_profile,weekday_predictability,weekend_predictability,driver_reliability,opt_out_probability,uses_public_charging,postcode_zone,historical_participation_rate,historical_success_rate,ws1_validated,notes,charging_window_hours,plug_in_hour
EV028,Van,Renault Kangoo E-Tech,45.0,42.8,7.4,7.4,7.4,0.93,1.4,190,1.05,spring,95.4,17:35,07:31,0.717,8.1,0.906,1.18,12.76,reliable,0.95,0.66,0.95,0.05,True,LEEDS,0.66,0.84,True,"reliable, spring, LEEDS, WS1-pattern",13.933333333333334,17.583333333333332
EV029,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,spring,44.6,17:35,07:44,0.788,6.02,0.891,0.87,13.28,irregular,0.6,0.69,0.6,0.3,False,BIRMINGHAM,0.43,0.98,True,"irregular, spring, BIRMINGHAM, WS1-pattern",14.15,17.583333333333332
EV030,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.05,spring,77.1,17:28,07:01,0.498,16.24,0.925,2.36,11.19,reliable,0.95,0.62,0.95,0.05,False,BRISTOL,0.24,0.96,True,"reliable, spring, BRISTOL, WS1-pattern",13.55,17.466666666666665
EV031,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.26,winter,101.9,17:25,07:10,0.622,15.51,0.885,2.25,11.5,reliable,0.95,0.69,0.95,0.05,False,LONDON,0.26,0.95,True,"reliable, winter, LONDON, WS1-pattern",13.75,17.416666666666668
EV032,Van,Renault Kangoo E-Tech,45.0,42.8,7.4,7.4,7.4,0.93,1.4,190,1.05,spring,70.0,17:26,07:22,0.57,12.97,0.873,1.88,12.05,reliable,0.95,0.64,0.95,0.05,False,LONDON,0.42,0.99,True,"reliable, spring, LONDON, WS1-pattern",13.933333333333334,17.433333333333334
EV033,Car,MG5 EV Long Range,61.1,57.4,11.0,11.0,11.0,0.93,1.4,160,1.26,winter,58.1,17:11,07:28,0.755,8.48,0.903,0.83,13.45,reliable,0.95,0.69,0.95,0.05,False,BIRMINGHAM,0.14,0.83,True,"reliable, winter, BIRMINGHAM, WS1-pattern",14.283333333333333,17.183333333333334
EV034,Van,Renault Kangoo E-Tech,45.0,42.8,7.4,7.4,7.4,0.93,1.4,190,1.26,winter,73.9,17:01,07:27,0.584,12.92,0.886,1.88,12.56,reliable,0.95,0.65,0.95,0.05,False,BIRMINGHAM,0.0,0.0,True,"reliable, winter, BIRMINGHAM, WS1-pattern",14.433333333333334,17.016666666666666
EV035,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.05,autumn,57.8,16:42,07:37,0.85,2.0,0.876,0.29,14.63,reliable,0.95,0.69,0.95,0.05,True,LEEDS,0.27,0.94,True,"reliable, autumn, LEEDS, WS1-pattern",14.916666666666666,16.7
EV036,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.26,winter,65.2,16:39,07:00,0.746,8.95,0.902,1.3,13.05,reliable,0.95,0.63,0.95,0.05,False,BRISTOL,0.0,0.0,True,"reliable, winter, BRISTOL, WS1-pattern",14.35,16.65
EV037,Van,Vauxhall Vivaro-e,50.0,48.0,7.4,7.4,7.4,0.93,1.4,210,1.1,summer,94.5,17:10,07:21,0.51,18.0,0.885,2.62,11.57,reliable,0.95,0.66,0.95,0.05,False,LEEDS,0.44,0.98,True,"reliable, summer, LEEDS, WS1-pattern",14.183333333333334,17.166666666666668
EV038,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.26,winter,50.1,16:46,07:14,0.721,12.53,0.934,1.82,12.65,reliable,0.95,0.65,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, winter, LONDON, WS1-pattern",14.466666666666667,16.766666666666666
EV039,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,autumn,72.1,18:30,08:00,0.802,6.59,0.914,0.96,12.54,late_arrival,0.75,0.69,0.8,0.15,True,BRISTOL,0.0,0.0,True,"late_arrival, autumn, BRISTOL, WS1-pattern",13.5,18.5
EV040,Car,MG5 EV Long Range,61.1,57.4,11.0,11.0,11.0,0.93,1.4,160,1.05,spring,71.3,20:54,08:00,0.728,9.97,0.902,0.97,10.13,late_arrival,0.75,0.61,0.8,0.15,False,BRISTOL,0.07,0.99,True,"late_arrival, spring, BRISTOL, WS1-pattern",11.1,20.9
EV041,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.05,autumn,87.8,18:26,07:09,0.555,11.91,0.868,1.73,10.99,irregular,0.6,0.66,0.6,0.3,False,LEEDS,0.33,0.9,True,"irregular, autumn, LEEDS, WS1-pattern",12.716666666666667,18.433333333333334
EV042,Van,Renault Kangoo E-Tech,45.0,42.8,7.4,7.4,7.4,0.93,1.4,190,1.05,autumn,74.9,16:30,07:05,0.563,13.87,0.887,2.02,12.57,reliable,0.95,0.66,0.95,0.05,False,BIRMINGHAM,0.0,0.0,True,"reliable, autumn, BIRMINGHAM, WS1-pattern",14.583333333333334,16.5
EV043,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.26,winter,81.5,17:21,07:07,0.393,18.21,0.872,2.65,11.12,reliable,0.95,0.6,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, winter, LONDON, WS1-pattern",13.766666666666667,17.35
EV044,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,spring,68.9,16:40,07:11,0.685,12.15,0.891,1.76,12.75,reliable,0.95,0.69,0.95,0.05,False,LONDON,0.06,0.57,True,"reliable, spring, LONDON, WS1-pattern",14.516666666666667,16.666666666666668
EV045,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.26,winter,81.2,17:50,07:23,0.631,14.08,0.876,2.05,11.5,reliable,0.95,0.69,0.95,0.05,False,LEEDS,0.0,0.0,True,"reliable, winter, LEEDS, WS1-pattern",13.55,17.833333333333332
EV046,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.26,winter,53.3,17:22,07:33,0.741,6.67,0.857,0.97,13.21,reliable,0.95,0.69,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, winter, LONDON, WS1-pattern",14.183333333333334,17.366666666666667
EV047,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,spring,74.7,17:15,07:26,0.785,7.11,0.905,1.03,13.15,reliable,0.95,0.62,0.95,0.05,True,LONDON,0.19,0.91,True,"reliable, spring, LONDON, WS1-pattern",14.183333333333334,17.25
EV048,Car,Volkswagen ID.3,58.0,55.0,11.0,7.4,7.4,0.93,1.4,155,1.1,summer,44.7,16:42,07:32,0.85,2.74,0.9,0.4,14.44,reliable,0.95,0.65,0.95,0.05,True,BIRMINGHAM,0.0,0.0,True,"reliable, summer, BIRMINGHAM, WS1-pattern",14.833333333333334,16.7
EV049,Van,Vauxhall Vivaro-e,50.0,48.0,7.4,7.4,7.4,0.93,1.4,210,1.05,spring,60.2,17:18,07:00,0.643,13.24,0.919,1.92,11.78,reliable,0.95,0.64,0.95,0.05,False,BIRMINGHAM,0.0,0.0,True,"reliable, spring, BIRMINGHAM, WS1-pattern",13.7,17.3
EV050,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.05,autumn,52.0,17:24,07:32,0.801,5.62,0.899,0.82,13.32,reliable,0.95,0.6,0.95,0.05,False,BRISTOL,0.0,0.0,True,"reliable, autumn, BRISTOL, WS1-pattern",14.133333333333333,17.4
EV051,Van,Vauxhall Vivaro-e,50.0,48.0,7.4,7.4,7.4,0.93,1.4,210,1.1,summer,64.4,16:46,07:23,0.695,9.92,0.902,1.44,13.18,reliable,0.95,0.61,0.95,0.05,False,LEEDS,0.37,0.64,True,"reliable, summer, LEEDS, WS1-pattern",14.616666666666667,16.766666666666666
EV052,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,spring,82.4,17:01,07:21,0.682,12.15,0.888,1.76,12.57,reliable,0.95,0.66,0.95,0.05,False,LONDON,0.34,0.65,True,"reliable, spring, LONDON, WS1-pattern",14.333333333333334,17.016666666666666
EV053,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.05,spring,79.0,19:27,07:43,0.85,2.0,0.881,0.29,11.98,late_arrival,0.75,0.66,0.8,0.15,True,LEEDS,0.55,0.9,True,"late_arrival, spring, LEEDS, WS1-pattern",12.266666666666667,19.45
EV054,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.1,summer,78.0,19:58,07:40,0.684,13.48,0.913,1.96,9.74,late_arrival,0.75,0.63,0.8,0.15,False,MANCHESTER,0.2,0.93,True,"late_arrival, summer, MANCHESTER, WS1-pattern",11.7,19.966666666666665
EV055,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,autumn,72.1,16:30,07:39,0.748,10.22,0.921,1.49,13.66,reliable,0.95,0.69,0.95,0.05,False,BIRMINGHAM,0.0,0.0,True,"reliable, autumn, BIRMINGHAM, WS1-pattern",15.15,16.5
EV056,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,autumn,56.7,19:22,07:32,0.777,4.66,0.856,0.68,11.49,late_arrival,0.75,0.63,0.8,0.15,False,LONDON,0.0,0.0,True,"late_arrival, autumn, LONDON, WS1-pattern",12.166666666666666,19.366666666666667
EV057,Premium,Hyundai Ioniq 5,72.6,70.0,11.0,7.4,7.4,0.93,1.4,168,1.05,autumn,68.0,17:44,07:34,0.829,7.19,0.932,1.04,12.79,reliable,0.95,0.61,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, autumn, LONDON, WS1-pattern",13.833333333333334,17.733333333333334
EV058,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.05,autumn,59.2,17:03,07:16,0.752,9.35,0.915,1.36,12.86,reliable,0.95,0.63,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, autumn, LONDON, WS1-pattern",14.216666666666667,17.05
EV059,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.26,winter,58.3,17:21,07:51,0.478,15.41,0.883,2.24,12.26,reliable,0.95,0.64,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, winter, LONDON, WS1-pattern",14.5,17.35
EV060,Car,MG5 EV Long Range,61.1,57.4,11.0,11.0,11.0,0.93,1.4,160,1.26,winter,50.3,17:19,07:28,0.794,7.63,0.927,0.75,13.4,reliable,0.95,0.64,0.95,0.05,False,LONDON,0.3,0.83,True,"reliable, winter, LONDON, WS1-pattern",14.15,17.316666666666666
EV061,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.1,summer,73.5,16:59,07:33,0.765,6.87,0.882,1.0,13.57,reliable,0.95,0.66,0.95,0.05,True,MANCHESTER,0.44,1.0,True,"reliable, summer, MANCHESTER, WS1-pattern",14.566666666666666,16.983333333333334
EV062,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.26,winter,65.5,17:30,07:08,0.656,9.52,0.906,1.38,12.25,reliable,0.95,0.69,0.95,0.05,True,LEEDS,0.0,0.0,True,"reliable, winter, LEEDS, WS1-pattern",13.633333333333333,17.5
EV063,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.1,summer,65.0,16:51,07:28,0.551,12.57,0.882,1.83,12.79,reliable,0.95,0.61,0.95,0.05,False,LONDON,0.38,0.81,True,"reliable, summer, LONDON, WS1-pattern",14.616666666666667,16.85
EV064,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,autumn,76.4,19:00,07:32,0.775,5.61,0.87,0.82,11.72,late_arrival,0.75,0.61,0.8,0.15,False,LONDON,0.33,0.98,True,"late_arrival, autumn, LONDON, WS1-pattern",12.533333333333333,19.0
EV065,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.26,winter,65.5,16:32,07:44,0.763,7.23,0.886,1.05,14.15,reliable,0.95,0.7,0.95,0.05,True,MANCHESTER,0.0,0.0,True,"reliable, winter, MANCHESTER, WS1-pattern",15.2,16.533333333333335
EV066,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,autumn,77.9,16:30,08:00,0.719,10.97,0.905,1.59,13.91,reliable,0.95,0.67,0.95,0.05,False,BRISTOL,0.35,0.97,True,"reliable, autumn, BRISTOL, WS1-pattern",15.5,16.5
EV067,Premium,Tesla Model 3 Long Range,60.0,57.5,11.0,7.4,7.4,0.93,1.4,145,1.05,spring,77.7,17:07,07:26,0.735,11.63,0.938,1.69,12.63,reliable,0.95,0.62,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, spring, LONDON, WS1-pattern",14.316666666666666,17.116666666666667
EV068,Van,Renault Kangoo E-Tech,45.0,42.8,7.4,7.4,7.4,0.93,1.4,190,1.26,winter,60.8,15:56,07:31,0.608,12.99,0.912,1.89,13.7,early_bird,0.9,0.65,0.98,0.03,False,LONDON,0.06,0.89,True,"early_bird, winter, LONDON, WS1-pattern",15.583333333333334,15.933333333333334
EV069,Car,Volkswagen ID.3,58.0,55.0,11.0,7.4,7.4,0.93,1.4,155,1.05,autumn,63.4,16:57,07:29,0.735,7.09,0.864,1.03,13.5,reliable,0.95,0.65,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, autumn, LONDON, WS1-pattern",14.533333333333333,16.95
EV070,Premium,Tesla Model 3 Long Range,60.0,57.5,11.0,11.0,11.0,0.93,1.4,145,1.26,winter,90.1,16:55,07:51,0.678,13.42,0.912,1.31,13.62,reliable,0.95,0.65,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, winter, LONDON, WS1-pattern",14.933333333333334,16.916666666666668
EV071,Premium,Tesla Model 3 Long Range,60.0,57.5,11.0,7.4,7.4,0.93,1.4,145,1.1,summer,64.6,16:54,07:34,0.807,3.16,0.862,0.46,14.21,reliable,0.95,0.67,0.95,0.05,False,BRISTOL,0.0,0.0,True,"reliable, summer, BRISTOL, WS1-pattern",14.666666666666666,16.9
EV072,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.05,autumn,64.2,16:36,07:35,0.753,9.25,0.914,1.34,13.64,reliable,0.95,0.67,0.95,0.05,False,BRISTOL,0.0,0.0,True,"reliable, autumn, BRISTOL, WS1-pattern",14.983333333333333,16.6
EV073,Van,Renault Kangoo E-Tech,45.0,42.8,7.4,7.4,7.4,0.93,1.4,190,1.26,winter,81.8,16:51,07:57,0.465,18.37,0.895,2.67,12.43,reliable,0.95,0.68,0.95,0.05,False,BIRMINGHAM,0.08,0.9,True,"reliable, winter, BIRMINGHAM, WS1-pattern",15.1,16.85
EV074,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.1,summer,45.3,16:38,07:02,0.825,5.02,0.912,0.73,13.67,reliable,0.95,0.65,0.95,0.05,False,BRISTOL,0.38,0.78,True,"reliable, summer, BRISTOL, WS1-pattern",14.4,16.633333333333333
EV075,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.1,summer,42.1,16:30,07:08,0.817,4.5,0.895,0.65,13.98,reliable,0.95,0.68,0.95,0.05,False,LONDON,0.11,0.74,True,"reliable, summer, LONDON, WS1-pattern",14.633333333333333,16.5
EV076,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,autumn,71.5,16:31,07:32,0.75,10.15,0.922,1.47,13.54,reliable,0.95,0.66,0.95,0.05,True,BRISTOL,0.61,0.91,True,"reliable, autumn, BRISTOL, WS1-pattern",15.016666666666667,16.516666666666666
EV077,Van,Renault Kangoo E-Tech,45.0,42.8,7.4,7.4,7.4,0.93,1.4,190,1.26,winter,77.2,17:15,07:15,0.502,17.13,0.902,2.49,11.51,reliable,0.95,0.69,0.95,0.05,False,LONDON,0.11,0.84,True,"reliable, winter, LONDON, WS1-pattern",14.0,17.25
EV078,Car,Volkswagen ID.3,58.0,55.0,11.0,7.4,7.4,0.93,1.4,155,1.26,winter,71.8,17:49,07:00,0.693,10.46,0.884,1.52,11.66,reliable,0.95,0.67,0.95,0.05,False,MANCHESTER,0.11,0.86,True,"reliable, winter, MANCHESTER, WS1-pattern",13.183333333333334,17.816666666666666
EV079,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.1,summer,69.4,16:50,08:00,0.725,5.97,0.882,0.87,14.3,early_bird,0.9,0.67,0.98,0.03,True,MANCHESTER,0.54,0.6,True,"early_bird, summer, MANCHESTER, WS1-pattern",15.166666666666666,16.833333333333332
EV080,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.26,winter,61.3,16:30,07:33,0.681,12.5,0.892,1.82,13.23,reliable,0.95,0.66,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, winter, LONDON, WS1-pattern",15.05,16.5
EV081,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.05,spring,65.4,16:33,07:46,0.732,9.31,0.894,1.35,13.86,reliable,0.95,0.66,0.95,0.05,False,BRISTOL,0.0,0.0,True,"reliable, spring, BRISTOL, WS1-pattern",15.216666666666667,16.55
EV082,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.26,winter,54.2,16:57,07:40,0.723,11.82,0.924,1.72,13.0,reliable,0.95,0.64,0.95,0.05,False,BRISTOL,0.0,0.0,True,"reliable, winter, BRISTOL, WS1-pattern",14.716666666666667,16.95
EV083,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.26,winter,53.1,17:05,07:22,0.85,2.74,0.897,0.4,13.88,reliable,0.95,0.64,0.95,0.05,True,LONDON,0.0,0.0,True,"reliable, winter, LONDON, WS1-pattern",14.283333333333333,17.083333333333332
