value_exc_vat,value_inc_vat,valid_from,valid_to,payment_method,hour,month,season,is_filled
12.81,13.4505,2024-05-18 03:00:00+00:00,2024-05-18 03:30:00+00:00,,3.0,5.0,spring,False
12.7,13.335,2024-05-18 03:30:00+00:00,2024-05-18 04:00:00+00:00,,3.0,5.0,spring,False
11.97,12.5685,2024-05-18 04:00:00+00:00,2024-05-18 04:30:00+00:00,,4.0,5.0,spring,False
11.97,12.5685,2024-05-18 04:30:00+00:00,2024-05-18 05:00:00+00:00,,4.0,5.0,spring,False
12.6,13.23,2024-05-18 05:00:00+00:00,2024-05-18 05:30:00+00:00,,5.0,5.0,spring,False
13.23,13.8915,2024-05-18 05:30:00+00:00,2024-05-18 06:00:00+00:00,,5.0,5.0,spring,False
12.81,13.4505,2024-05-18 06:00:00+00:00,2024-05-18 06:30:00+00:00,,6.0,5.0,spring,False
14.41,15.1305,2024-05-18 06:30:00+00:00,2024-05-18 07:00:00+00:00,,6.0,5.0,spring,False
17.68,18.564,2024-05-18 07:00:00+00:00,2024-05-18 07:30:00+00:00,,7.0,5.0,spring,False
18.98,19.929,2024-05-18 07:30:00+00:00,2024-05-18 08:00:00+00:00,,7.0,5.0,spring,False
18.98,19.929,2024-05-18 08:00:00+00:00,2024-05-18 08:30:00+00:00,,8.0,5.0,spring,False
18.82,19.761,2024-05-18 08:30:00+00:00,2024-05-18 09:00:00+00:00,,8.0,5.0,spring,False
19.15,20.1075,2024-05-18 09:00:00+00:00,2024-05-18 09:30:00+00:00,,9.0,5.0,spring,False
18.31,19.2255,2024-05-18 09:30:00+00:00,2024-05-18 10:00:00+00:00,,9.0,5.0,spring,False
16.28,17.094,2024-05-18 10:00:00+00:00,2024-05-18 10:30:00+00:00,,10.0,5.0,spring,False
16.15,16.9575,2024-05-18 10:30:00+00:00,2024-05-18 11:00:00+00:00,,10.0,5.0,spring,False
15.18,15.939,2024-05-18 11:00:00+00:00,2024-05-18 11:30:00+00:00,,11.0,5.0,spring,False
14.41,15.1305,2024-05-18 11:30:00+00:00,2024-05-18 12:00:00+00:00,,11.0,5.0,spring,False
14.18,14.889,2024-05-18 12:00:00+00:00,2024-05-18 12:30:00+00:00,,12.0,5.0,spring,False
13.12,13.776,2024-05-18 12:30:00+00:00,2024-05-18 13:00:00+00:00,,12.0,5.0,spring,False
12.96,13.608,2024-05-18 13:00:00+00:00,2024-05-18 13:30:00+00:00,,13.0,5.0,spring,False
12.73,13.3665,2024-05-18 13:30:00+00:00,2024-05-18 14:00:00+00:00,,13.0,5.0,spring,False
12.56,13.188,2024-05-18 14:00:00+00:00,2024-05-18 14:30:00+00:00,,14.0,5.0,spring,False
13.08,13.734,2024-05-18 14:30:00+00:00,2024-05-18 15:00:00+00:00,,14.0,5.0,spring,False
25.6,26.88,2024-05-18 15:00:00+00:00,2024-05-18 15:30:00+00:00,,15.0,5.0,spring,False
25.08,26.334,2024-05-18 15:30:00+00:00,2024-05-18 16:00:00+00:00,,15.0,5.0,spring,False
27.62,29.001,2024-05-18 16:00:00+00:00,2024-05-18 16:30:00+00:00,,16.0,5.0,spring,False
27.28,28.644,2024-05-18 16:30:00+00:00,2024-05-18 17:00:00+00:00,,16.0,5.0,spring,False
28.54,29.967,2024-05-18 17:00:00+00:00,2024-05-18 17:30:00+00:00,,17.0,5.0,spring,False
29.8,31.29,2024-05-18 17:30:00+00:00,2024-05-18 18:00:00+00:00,,17.0,5.0,spring,False
19.32,20.286,2024-05-18 18:00:00+00:00,2024-05-18 18:30:00+00:00,,18.0,5.0,spring,False
18.9,19.845,2024-05-18 18:30:00+00:00,2024-05-18 19:00:00+00:00,,18.0,5.0,spring,False
18.98,19.929,2024-05-18 19:00:00+00:00,2024-05-18 19:30:00+00:00,,19.0,5.0,spring,False
18.82,19.761,2024-05-18 19:30:00+00:00,2024-05-18 20:00:00+00:00,,19.0,5.0,spring,False
17.51,18.3855,2024-05-18 20:00:00+00:00,2024-05-18 20:30:00+00:00,,20.0,5.0,spring,False
16.8,17.64,2024-05-18 20:30:00+00:00,2024-05-18 21:00:00+00:00,,20.0,5.0,spring,False
15.9,16.695,2024-05-18 21:00:00+00:00,2024-05-18 21:30:00+00:00,,21.0,5.0,spring,False
14.91,15.6555,2024-05-18 21:30:00+00:00,2024-05-18 22:00:00+00:00,,21.0,5.0,spring,False
17.64,18.522,2024-05-18 22:00:00+00:00,2024-05-18 22:30:00+00:00,,22.0,5.0,spring,False
17.81,18.7005,2024-05-18 22:30:00+00:00,2024-05-18 23:00:00+00:00,,22.0,5.0,spring,False
16.0,16.8,2024-05-18 23:00:00+00:00,2024-05-18 23:30:00+00:00,,23.0,5.0,spring,False
16.16,16.968,2024-05-18 23:30:00+00:00,2024-05-19 00:00:00+00:00,,23.0,5.0,spring,False
15.75,16.5375,2024-05-19 00:00:00+00:00,2024-05-19 00:30:00+00:00,,0.0,5.0,spring,False
15.64,16.422,2024-05-19 00:30:00+00:00,2024-05-19 01:00:00+00:00,,0.0,5.0,spring,False
14.93,15.6765,2024-05-19 01:00:00+00:00,2024-05-19 01:30:00+00:00,,1.0,5.0,spring,False
14.98,15.729,2024-05-19 01:30:00+00:00,2024-05-19 02:00:00+00:00,,1.0,5.0,spring,False
15.12,15.876,2024-05-19 02:00:00+00:00,2024-05-19 02:30:00+00:00,,2.0,5.0,spring,False
15.54,16.317,2024-05-19 02:30:00+00:00,2024-05-19 03:00:00+00:00,,2.0,5.0,spring,False
16.38,17.199,2024-05-19 03:00:00+00:00,2024-05-19 03:30:00+00:00,,3.0,5.0,spring,False
15.52,16.296,2024-05-19 03:30:00+00:00,2024-05-19 04:00:00+00:00,,3.0,5.0,spring,False
13.86,14.553,2024-05-19 04:00:00+00:00,2024-05-19 04:30:00+00:00,,4.0,5.0,spring,False
13.69,14.3745,2024-05-19 04:30:00+00:00,2024-05-19 05:00:00+00:00,,4.0,5.0,spring,False
13.86,14.553,2024-05-19 05:00:00+00:00,2024-05-19 05:30:00+00:00,,5.0,5.0,spring,False
13.86,14.553,2024-05-19 05:30:00+00:00,2024-05-19 06:00:00+00:00,,5.0,5.0,spring,False
14.47,15.1935,2024-05-19 06:00:00+00:00,2024-05-19 06:30:00+00:00,,6.0,5.0,spring,False
14.93,15.6765,2024-05-19 06:30:00+00:00,2024-05-19 07:00:00+00:00,,6.0,5.0,spring,False
16.42,17.241,2024-05-19 07:00:00+00:00,2024-05-19 07:30:00+00:00,,7.0,5.0,spring,False
16.11,16.9155,2024-05-19 07:30:00+00:00,2024-05-19 08:00:00+00:00,,7.0,5.0,spring,False
15.88,16.674,2024-05-19 08:00:00+00:00,2024-05-19 08:30:00+00:00,,8.0,5.0,spring,False
14.59,15.3195,2024-05-19 08:30:00+00:00,2024-05-19 09:00:00+00:00,,8.0,5.0,spring,False
14.55,15.2775,2024-05-19 09:00:00+00:00,2024-05-19 09:30:00+00:00,,9.0,5.0,spring,False
14.5,15.225,2024-05-19 09:30:00+00:00,2024-05-19 10:00:00+00:00,,9.0,5.0,spring,False
12.39,13.0095,2024-05-19 10:00:00+00:00,2024-05-19 10:30:00+00:00,,10.0,5.0,spring,False
12.39,13.0095,2024-05-19 10:30:00+00:00,2024-05-19 11:00:00+00:00,,10.0,5.0,spring,False
12.39,13.0095,2024-05-19 11:00:00+00:00,2024-05-19 11:30:00+00:00,,11.0,5.0,spring,False
12.6,13.23,2024-05-19 11:30:00+00:00,2024-05-19 12:00:00+00:00,,11.0,5.0,spring,False
12.39,13.0095,2024-05-19 12:00:00+00:00,2024-05-19 12:30:00+00:00,,12.0,5.0,spring,False
12.18,12.789,2024-05-19 12:30:00+00:00,2024-05-19 13:00:00+00:00,,12.0,5.0,spring,False
12.18,12.789,2024-05-19 13:00:00+00:00,2024-05-19 13:30:00+00:00,,13.0,5.0,spring,False
12.39,13.0095,2024-05-19 13:30:00+00:00,2024-05-19 14:00:00+00:00,,13.0,5.0,spring,False
12.56,13.188,2024-05-19 14:00:00+00:00,2024-05-19 14:30:00+00:00,,14.0,5.0,spring,False
13.44,14.112,2024-05-19 14:30:00+00:00,2024-05-19 15:00:00+00:00,,14.0,5.0,spring,False
26.65,27.9825,2024-05-19 15:00:00+00:00,2024-05-19 15:30:00+00:00,,15.0,5.0,spring,False
27.11,28.4655,2024-05-19 15:30:00+00:00,2024-05-19 16:00:00+00:00,,15.0,5.0,spring,False
27.49,28.8645,2024-05-19 16:00:00+00:00,2024-05-19 16:30:00+00:00,,16.0,5.0,spring,False
27.14,28.497,2024-05-19 16:30:00+00:00,2024-05-19 17:00:00+00:00,,16.0,5.0,spring,False
29.02,30.471,2024-05-19 17:00:00+00:00,2024-05-19 17:30:00+00:00,,17.0,5.0,spring,False
31.06,32.613,2024-05-19 17:30:00+00:00,2024-05-19 18:00:00+00:00,,17.0,5.0,spring,False
19.64,20.622,2024-05-19 18:00:00+00:00,2024-05-19 18:30:00+00:00,,18.0,5.0,spring,False
18.9,19.845,2024-05-19 18:30:00+00:00,2024-05-19 19:00:00+00:00,,18.0,5.0,spring,False
21.0,22.05,2024-05-19 19:00:00+00:00,2024-05-19 19:30:00+00:00,,19.0,5.0,spring,False
20.5,21.525,2024-05-19 19:30:00+00:00,2024-05-19 20:00:00+00:00,,19.0,5.0,spring,False
20.5,21.525,2024-05-19 20:00:00+00:00,2024-05-19 20:30:00+00:00,,20.0,5.0,spring,False
19.32,20.286,2024-05-19 20:30:00+00:00,2024-05-19 21:00:00+00:00,,20.0,5.0,spring,False
18.38,19.299,2024-05-19 21:00:00+00:00,2024-05-19 21:30:00+00:00,,21.0,5.0,spring,False
14.53,15.2565,2024-05-19 21:30:00+00:00,2024-05-19 22:00:00+00:00,,21.0,5.0,spring,False
18.48,19.404,2024-05-19 22:00:00+00:00,2024-05-19 22:30:00+00:00,,22.0,5.0,spring,False
16.8,17.64,2024-05-19 22:30:00+00:00,2024-05-19 23:00:00+00:00,,22.0,5.0,spring,False
15.96,16.758,2024-05-19 23:00:00+00:00,2024-05-19 23:30:00+00:00,,23.0,5.0,spring,False
15.06,15.813,2024-05-19 23:30:00+00:00,2024-05-20 00:00:00+00:00,,23.0,5.0,spring,False
14.28,14.994,2024-05-20 00:00:00+00:00,2024-05-20 00:30:00+00:00,,0.0,5.0,spring,False
14.09,14.7945,2024-05-20 00:30:00+00:00,2024-05-20 01:00:00+00:00,,0.0,5.0,spring,False
14.62,15.351,2024-05-20 01:00:00+00:00,2024-05-20 01:30:00+00:00,,1.0,5.0,spring,False
13.82,14.511,2024-05-20 01:30:00+00:00,2024-05-20 02:00:00+00:00,,1.0,5.0,spring,False
14.28,14.994,2024-05-20 02:00:00+00:00,2024-05-20 02:30:00+00:00,,2.0,5.0,spring,False
13.86,14.553,2024-05-20 02:30:00+00:00,2024-05-20 03:00:00+00:00,,2.0,5.0,spring,False
15.54,16.317,2024-05-20 03:00:00+00:00,2024-05-20 03:30:00+00:00,,3.0,5.0,spring,False
15.22,15.981,2024-05-20 03:30:00+00:00,2024-05-20 04:00:00+00:00,,3.0,5.0,spring,False
14.28,14.994,2024-05-20 04:00:00+00:00,2024-05-20 04:30:00+00:00,,4.0,5.0,spring,False
15.96,16.758,2024-05-20 04:30:00+00:00,2024-05-20 05:00:00+00:00,,4.0,5.0,spring,False
17.64,18.522,2024-05-20 05:00:00+00:00,2024-05-20 05:30:00+00:00,,5.0,5.0,spring,False
19.03,19.9815,2024-05-20 05:30:00+00:00,2024-05-20 06:00:00+00:00,,5.0,5.0,spring,False
18.9,19.845,2024-05-20 06:00:00+00:00,2024-05-20 06:30:00+00:00,,6.0,5.0,spring,False
20.79,21.8295,2024-05-20 06:30:00+00:00,2024-05-20 07:00:00+00:00,,6.0,5.0,spring,False
20.66,21.693,2024-05-20 07:00:00+00:00,2024-05-20 07:30:00+00:00,,7.0,5.0,spring,False
19.59,20.5695,2024-05-20 07:30:00+00:00,2024-05-20 08:00:00+00:00,,7.0,5.0,spring,False
19.97,20.9685,2024-05-20 08:00:00+00:00,2024-05-20 08:30:00+00:00,,8.0,5.0,spring,False
18.65,19.5825,2024-05-20 08:30:00+00:00,2024-05-20 09:00:00+00:00,,8.0,5.0,spring,False
16.86,17.703,2024-05-20 09:00:00+00:00,2024-05-20 09:30:00+00:00,,9.0,5.0,spring,False
15.75,16.5375,2024-05-20 09:30:00+00:00,2024-05-20 10:00:00+00:00,,9.0,5.0,spring,False
14.7,15.435,2024-05-20 10:00:00+00:00,2024-05-20 10:30:00+00:00,,10.0,5.0,spring,False
13.96,14.658,2024-05-20 10:30:00+00:00,2024-05-20 11:00:00+00:00,,10.0,5.0,spring,False
13.65,14.3325,2024-05-20 11:00:00+00:00,2024-05-20 11:30:00+00:00,,11.0,5.0,spring,False
13.27,13.9335,2024-05-20 11:30:00+00:00,2024-05-20 12:00:00+00:00,,11.0,5.0,spring,False
13.4,14.07,2024-05-20 12:00:00+00:00,2024-05-20 12:30:00+00:00,,12.0,5.0,spring,False
13.27,13.9335,2024-05-20 12:30:00+00:00,2024-05-20 13:00:00+00:00,,12.0,5.0,spring,False
13.27,13.9335,2024-05-20 13:00:00+00:00,2024-05-20 13:30:00+00:00,,13.0,5.0,spring,False
13.27,13.9335,2024-05-20 13:30:00+00:00,2024-05-20 14:00:00+00:00,,13.0,5.0,spring,False
12.81,13.4505,2024-05-20 14:00:00+00:00,2024-05-20 14:30:00+00:00,,14.0,5.0,spring,False
13.52,14.196,2024-05-20 14:30:00+00:00,2024-05-20 15:00:00+00:00,,14.0,5.0,spring,False
26.86,28.203,2024-05-20 15:00:00+00:00,2024-05-20 15:30:00+00:00,,15.0,5.0,spring,False
27.49,28.8645,2024-05-20 15:30:00+00:00,2024-05-20 16:00:00+00:00,,15.0,5.0,spring,False
28.1,29.505,2024-05-20 16:00:00+00:00,2024-05-20 16:30:00+00:00,,16.0,5.0,spring,False
27.7,29.085,2024-05-20 16:30:00+00:00,2024-05-20 17:00:00+00:00,,16.0,5.0,spring,False
31.54,33.117,2024-05-20 17:00:00+00:00,2024-05-20 17:30:00+00:00,,17.0,5.0,spring,False
32.66,34.293,2024-05-20 17:30:00+00:00,2024-05-20 18:00:00+00:00,,17.0,5.0,spring,False
21.42,22.491,2024-05-20 18:00:00+00:00,2024-05-20 18:30:00+00:00,,18.0,5.0,spring,False
21.29,22.3545,2024-05-20 18:30:00+00:00,2024-05-20 19:00:00+00:00,,18.0,5.0,spring,False
20.37,21.3885,2024-05-20 19:00:00+00:00,2024-05-20 19:30:00+00:00,,19.0,5.0,spring,False
19.68,20.664,2024-05-20 19:30:00+00:00,2024-05-20 20:00:00+00:00,,19.0,5.0,spring,False
18.9,19.845,2024-05-20 20:00:00+00:00,2024-05-20 20:30:00+00:00,,20.0,5.0,spring,False
17.05,17.9025,2024-05-20 20:30:00+00:00,2024-05-20 21:00:00+00:00,,20.0,5.0,spring,False
15.71,16.4955,2024-05-20 21:00:00+00:00,2024-05-20 21:30:00+00:00,,21.0,5.0,spring,False
14.7,15.435,2024-05-20 21:30:00+00:00,2024-05-20 22:00:00+00:00,,21.0,5.0,spring,False
14.76,15.498,2024-05-20 22:00:00+00:00,2024-05-20 22:30:00+00:00,,22.0,5.0,spring,False
14.76,15.498,2024-05-20 22:30:00+00:00,2024-05-20 23:00:00+00:00,,22.0,5.0,spring,False
14.34,15.057,2024-05-20 23:00:00+00:00,2024-05-20 23:30:00+00:00,,23.0,5.0,spring,False
13.86,14.553,2024-05-20 23:30:00+00:00,2024-05-21 00:00:00+00:00,,23.0,5.0,spring,False
14.22,14.931,2024-05-21 00:00:00+00:00,2024-05-21 00:30:00+00:00,,0.0,5.0,spring,False
14.09,14.7945,2024-05-21 00:30:00+00:00,2024-05-21 01:00:00+00:00,,0.0,5.0,spring,False
14.19,14.8995,2024-05-21 01:00:00+00:00,2024-05-21 01:30:00+00:00,,1.0,5.0,spring,False
14.07,14.7735,2024-05-21 01:30:00+00:00,2024-05-21 02:00:00+00:00,,1.0,5.0,spring,False
14.07,14.7735,2024-05-21 02:00:00+00:00,2024-05-21 02:30:00+00:00,,2.0,5.0,spring,False
14.07,14.7735,2024-05-21 02:30:00+00:00,2024-05-21 03:00:00+00:00,,2.0,5.0,spring,False
14.38,15.099,2024-05-21 03:00:00+00:00,2024-05-21 03:30:00+00:00,,3.0,5.0,spring,False
13.86,14.553,2024-05-21 03:30:00+00:00,2024-05-21 04:00:00+00:00,,3.0,5.0,spring,False
14.57,15.2985,2024-05-21 04:00:00+00:00,2024-05-21 04:30:00+00:00,,4.0,5.0,spring,False
15.88,16.674,2024-05-21 04:30:00+00:00,2024-05-21 05:00:00+00:00,,4.0,5.0,spring,False
18.06,18.963,2024-05-21 05:00:00+00:00,2024-05-21 05:30:00+00:00,,5.0,5.0,spring,False
20.16,21.168,2024-05-21 05:30:00+00:00,2024-05-21 06:00:00+00:00,,5.0,5.0,spring,False
17.64,18.522,2024-05-21 06:00:00+00:00,2024-05-21 06:30:00+00:00,,6.0,5.0,spring,False
20.22,21.231,2024-05-21 06:30:00+00:00,2024-05-21 07:00:00+00:00,,6.0,5.0,spring,False
19.03,19.9815,2024-05-21 07:00:00+00:00,2024-05-21 07:30:00+00:00,,7.0,5.0,spring,False
18.65,19.5825,2024-05-21 07:30:00+00:00,2024-05-21 08:00:00+00:00,,7.0,5.0,spring,False
19.22,20.181,2024-05-21 08:00:00+00:00,2024-05-21 08:30:00+00:00,,8.0,5.0,spring,False
18.27,19.1835,2024-05-21 08:30:00+00:00,2024-05-21 09:00:00+00:00,,8.0,5.0,spring,False
18.25,19.1625,2024-05-21 09:00:00+00:00,2024-05-21 09:30:00+00:00,,9.0,5.0,spring,False
17.47,18.3435,2024-05-21 09:30:00+00:00,2024-05-21 10:00:00+00:00,,9.0,5.0,spring,False
17.18,18.039,2024-05-21 10:00:00+00:00,2024-05-21 10:30:00+00:00,,10.0,5.0,spring,False
16.76,17.598,2024-05-21 10:30:00+00:00,2024-05-21 11:00:00+00:00,,10.0,5.0,spring,False
17.28,18.144,2024-05-21 11:00:00+00:00,2024-05-21 11:30:00+00:00,,11.0,5.0,spring,False
16.59,17.4195,2024-05-21 11:30:00+00:00,2024-05-21 12:00:00+00:00,,11.0,5.0,spring,False
17.22,18.081,2024-05-21 12:00:00+00:00,2024-05-21 12:30:00+00:00,,12.0,5.0,spring,False
15.75,16.5375,2024-05-21 12:30:00+00:00,2024-05-21 13:00:00+00:00,,12.0,5.0,spring,False
14.91,15.6555,2024-05-21 13:00:00+00:00,2024-05-21 13:30:00+00:00,,13.0,5.0,spring,False
14.78,15.519,2024-05-21 13:30:00+00:00,2024-05-21 14:00:00+00:00,,13.0,5.0,spring,False
14.7,15.435,2024-05-21 14:00:00+00:00,2024-05-21 14:30:00+00:00,,14.0,5.0,spring,False
14.95,15.6975,2024-05-21 14:30:00+00:00,2024-05-21 15:00:00+00:00,,14.0,5.0,spring,False
28.33,29.7465,2024-05-21 15:00:00+00:00,2024-05-21 15:30:00+00:00,,15.0,5.0,spring,False
30.22,31.731,2024-05-21 15:30:00+00:00,2024-05-21 16:00:00+00:00,,15.0,5.0,spring,False
32.47,34.0935,2024-05-21 16:00:00+00:00,2024-05-21 16:30:00+00:00,,16.0,5.0,spring,False
33.58,35.259,2024-05-21 16:30:00+00:00,2024-05-21 17:00:00+00:00,,16.0,5.0,spring,False
33.26,34.923,2024-05-21 17:00:00+00:00,2024-05-21 17:30:00+00:00,,17.0,5.0,spring,False
33.26,34.923,2024-05-21 17:30:00+00:00,2024-05-21 18:00:00+00:00,,17.0,5.0,spring,False
19.95,20.9475,2024-05-21 18:00:00+00:00,2024-05-21 18:30:00+00:00,,18.0,5.0,spring,False
19.53,20.5065,2024-05-21 18:30:00+00:00,2024-05-21 19:00:00+00:00,,18.0,5.0,spring,False
19.74,20.727,2024-05-21 19:00:00+00:00,2024-05-21 19:30:00+00:00,,19.0,5.0,spring,False
19.32,20.286,2024-05-21 19:30:00+00:00,2024-05-21 20:00:00+00:00,,19.0,5.0,spring,False
19.74,20.727,2024-05-21 20:00:00+00:00,2024-05-21 20:30:00+00:00,,20.0,5.0,spring,False
17.58,18.459,2024-05-21 20:30:00+00:00,2024-05-21 21:00:00+00:00,,20.0,5.0,spring,False
17.64,18.522,2024-05-21 21:00:00+00:00,2024-05-21 21:30:00+00:00,,21.0,5.0,spring,False
16.45,17.2725,2024-05-21 21:30:00+00:00,2024-05-21 22:00:00+00:00,,21.0,5.0,spring,False
18.06,18.963,2024-05-21 22:00:00+00:00,2024-05-21 22:30:00+00:00,,22.0,5.0,spring,False
18.82,19.761,2024-05-21 22:30:00+00:00,2024-05-21 23:00:00+00:00,,22.0,5.0,spring,False
16.74,17.577,2024-05-21 23:00:00+00:00,2024-05-21 23:30:00+00:00,,23.0,5.0,spring,False
15.9,16.695,2024-05-21 23:30:00+00:00,2024-05-22 00:00:00+00:00,,23.0,5.0,spring,False
15.18,15.939,2024-05-22 00:00:00+00:00,2024-05-22 00:30:00+00:00,,0.0,5.0,spring,False
14.34,15.057,2024-05-22 00:30:00+00:00,2024-05-22 01:00:00+00:00,,0.0,5.0,spring,False
13.96,14.658,2024-05-22 01:00:00+00:00,2024-05-22 01:30:00+00:00,,1.0,5.0,spring,False
13.23,13.8915,2024-05-22 01:30:00+00:00,2024-05-22 02:00:00+00:00,,1.0,5.0,spring,False
13.23,13.8915,2024-05-22 02:00:00+00:00,2024-05-22 02:30:00+00:00,,2.0,5.0,spring,False
13.23,13.8915,2024-05-22 02:30:00+00:00,2024-05-22 03:00:00+00:00,,2.0,5.0,spring,False
13.23,13.8915,2024-05-22 03:00:00+00:00,2024-05-22 03:30:00+00:00,,3.0,5.0,spring,False
13.23,13.8915,2024-05-22 03:30:00+00:00,2024-05-22 04:00:00+00:00,,3.0,5.0,spring,False
13.23,13.8915,2024-05-22 04:00:00+00:00,2024-05-22 04:30:00+00:00,,4.0,5.0,spring,False
13.61,14.2905,2024-05-22 04:30:00+00:00,2024-05-22 05:00:00+00:00,,4.0,5.0,spring,False
16.8,17.64,2024-05-22 05:00:00+00:00,2024-05-22 05:30:00+00:00,,5.0,5.0,spring,False
19.74,20.727,2024-05-22 05:30:00+00:00,2024-05-22 06:00:00+00:00,,5.0,5.0,spring,False
18.02,18.921,2024-05-22 06:00:00+00:00,2024-05-22 06:30:00+00:00,,6.0,5.0,spring,False
20.73,21.7665,2024-05-22 06:30:00+00:00,2024-05-22 07:00:00+00:00,,6.0,5.0,spring,False
20.79,21.8295,2024-05-22 07:00:00+00:00,2024-05-22 07:30:00+00:00,,7.0,5.0,spring,False
20.46,21.483,2024-05-22 07:30:00+00:00,2024-05-22 08:00:00+00:00,,7.0,5.0,spring,False
21.0,22.05,2024-05-22 08:00:00+00:00,2024-05-22 08:30:00+00:00,,8.0,5.0,spring,False
20.16,21.168,2024-05-22 08:30:00+00:00,2024-05-22 09:00:00+00:00,,8.0,5.0,spring,False
19.49,20.4645,2024-05-22 09:00:00+00:00,2024-05-22 09:30:00+00:00,,9.0,5.0,spring,False
18.16,19.068,2024-05-22 09:30:00+00:00,2024-05-22 10:00:00+00:00,,9.0,5.0,spring,False
16.8,17.64,2024-05-22 10:00:00+00:00,2024-05-22 10:30:00+00:00,,10.0,5.0,spring,False
16.8,17.64,2024-05-22 10:30:00+00:00,2024-05-22 11:00:00+00:00,,10.0,5.0,spring,False
16.51,17.3355,2024-05-22 11:00:00+00:00,2024-05-22 11:30:00+00:00,,11.0,5.0,spring,False
16.59,17.4195,2024-05-22 11:30:00+00:00,2024-05-22 12:00:00+00:00,,11.0,5.0,spring,False
17.22,18.081,2024-05-22 12:00:00+00:00,2024-05-22 12:30:00+00:00,,12.0,5.0,spring,False
17.01,17.8605,2024-05-22 12:30:00+00:00,2024-05-22 13:00:00+00:00,,12.0,5.0,spring,False
14.7,15.435,2024-05-22 13:00:00+00:00,2024-05-22 13:30:00+00:00,,13.0,5.0,spring,False
13.65,14.3325,2024-05-22 13:30:00+00:00,2024-05-22 14:00:00+00:00,,13.0,5.0,spring,False
13.44,14.112,2024-05-22 14:00:00+00:00,2024-05-22 14:30:00+00:00,,14.0,5.0,spring,False
13.96,14.658,2024-05-22 14:30:00+00:00,2024-05-22 15:00:00+00:00,,14.0,5.0,spring,False
25.81,27.1005,2024-05-22 15:00:00+00:00,2024-05-22 15:30:00+00:00,,15.0,5.0,spring,False
26.76,28.098,2024-05-22 15:30:00+00:00,2024-05-22 16:00:00+00:00,,15.0,5.0,spring,False
29.4,30.87,2024-05-22 16:00:00+00:00,2024-05-22 16:30:00+00:00,,16.0,5.0,spring,False
29.8,31.29,2024-05-22 16:30:00+00:00,2024-05-22 17:00:00+00:00,,16.0,5.0,spring,False
29.8,31.29,2024-05-22 17:00:00+00:00,2024-05-22 17:30:00+00:00,,17.0,5.0,spring,False
28.75,30.1875,2024-05-22 17:30:00+00:00,2024-05-22 18:00:00+00:00,,17.0,5.0,spring,False
