company_name,fu_id,zone,product,start_time_local,end_time_local,availability_mw_req,utilisation_mw_req,availability_price,utilisation_price,availability_mwh_req,utilisation_mwh_req,technology,dispatch_type,hours_requested,dispatch_method,start_time_utc,end_time_utc,time_utc
ev.energy,EV.E-THOR-SAOU-F901,Thorpe Grid 33,Day Ahead,2025-11-24T12:30:00+00:00,2025-11-24T13:00:00+00:00,0.0,0.09,0.0,80.0,0.0,0.04,EV Charger DSR,demand_turn_down,0.5,epex,2025-11-24 12:30:00+00:00,2025-11-24 13:00:00+00:00,12:30:00+00:00
Fuse Energy,Trowse Grid 33 21/11/2025 17:30 - 19:30 Down,Trowse Grid 33,Day Ahead,2025-11-21T19:00:00+00:00,2025-11-21T19:30:00+00:00,0.0,0.087,0.0,220.0,0.0,0.04,Flexible Site Demand,demand_turn_down,0.5,epex,2025-11-21 19:00:00+00:00,2025-11-21 19:30:00+00:00,19:00:00+00:00
Fuse Energy,Trowse Grid 33 21/11/2025 17:30 - 19:30 Down,Trowse Grid 33,Day Ahead,2025-11-21T18:30:00+00:00,2025-11-21T19:00:00+00:00,0.0,0.087,0.0,220.0,0.0,0.04,Flexible Site Demand,demand_turn_down,0.5,epex,2025-11-21 18:30:00+00:00,2025-11-21 19:00:00+00:00,18:30:00+00:00
Axle Energy Limited,halstead-da-ev-portfolio,Halstead,Day Ahead,2025-11-21T18:00:00+00:00,2025-11-21T19:00:00+00:00,0.0,0.03,0.0,598.0,0.0,0.03,EV Charger DSR,demand_turn_down,1.0,epex,2025-11-21 18:00:00+00:00,2025-11-21 19:00:00+00:00,18:00:00+00:00
OVO Energy,OVO -MANT-DA-D3E7,Manton Lane,Day Ahead,2025-11-21T18:00:00+00:00,2025-11-21T20:00:00+00:00,0.0,0.027,0.0,600.0,0.0,0.05,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-21 18:00:00+00:00,2025-11-21 20:00:00+00:00,18:00:00+00:00
OVO Energy,OVO -TROW-DA-158F,Trowse Grid 33,Day Ahead,2025-11-21T17:30:00+00:00,2025-11-21T19:30:00+00:00,0.0,0.106,0.0,240.0,0.0,0.21,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-21 17:30:00+00:00,2025-11-21 19:30:00+00:00,17:30:00+00:00
OVO Energy,OVO -TAKE-DA-F795,Takeley,Day Ahead,2025-11-21T17:00:00+00:00,2025-11-21T19:00:00+00:00,0.0,0.01,0.0,478.0,0.0,0.02,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-21 17:00:00+00:00,2025-11-21 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -WARE-DA-93E8,Warehorne Kenardington Tenterden Wittersham,Day Ahead,2025-11-21T17:00:00+00:00,2025-11-21T19:00:00+00:00,0.0,0.019,0.0,16.0,0.0,0.04,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-21 17:00:00+00:00,2025-11-21 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -WEST-DA-5439,West Letchworth Shefford Biggleswade,Day Ahead,2025-11-21T16:00:00+00:00,2025-11-21T18:00:00+00:00,0.0,0.049,0.0,600.0,0.0,0.1,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-21 16:00:00+00:00,2025-11-21 18:00:00+00:00,16:00:00+00:00
Axle Energy Limited,kenninghall-lt_saou-ev-c1-portfolio,Kenninghall,Day Ahead,2025-11-21T13:00:00+00:00,2025-11-21T15:00:00+00:00,0.0,0.011,0.0,67.0,0.0,0.02,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-21 13:00:00+00:00,2025-11-21 15:00:00+00:00,13:00:00+00:00
Axle Energy Limited,thorpe-grid-33-lt_saou-ev-c2-portfolio,Thorpe Grid 33,Day Ahead,2025-11-21T12:30:00+00:00,2025-11-21T14:00:00+00:00,0.0,0.063,0.0,79.0,0.0,0.1,EV Charger DSR,demand_turn_down,1.5,epex,2025-11-21 12:30:00+00:00,2025-11-21 14:00:00+00:00,12:30:00+00:00
ev.energy,EV.E-THOR-SAOU-F901,Thorpe Grid 33,Day Ahead,2025-11-21T12:30:00+00:00,2025-11-21T14:00:00+00:00,0.0,0.09,0.0,80.0,0.0,0.14,EV Charger DSR,demand_turn_down,1.5,epex,2025-11-21 12:30:00+00:00,2025-11-21 14:00:00+00:00,12:30:00+00:00
OVO Energy,OVO -NORT-DA-82E4,North Drive,Day Ahead,2025-11-19T17:00:00+00:00,2025-11-19T17:30:00+00:00,0.0,0.01,0.0,48.0,0.0,0.0,EV Charger DSR,demand_turn_down,0.5,epex,2025-11-19 17:00:00+00:00,2025-11-19 17:30:00+00:00,17:00:00+00:00
OVO Energy,OVO -REED-DA-3125,Reed,Day Ahead,2025-11-18T17:00:00+00:00,2025-11-18T19:00:00+00:00,0.0,0.01,0.0,11.0,0.0,0.02,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-18 17:00:00+00:00,2025-11-18 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -SELW-DA-CFEA,Selwyn Road,Day Ahead,2025-11-18T17:00:00+00:00,2025-11-18T19:00:00+00:00,0.0,0.01,0.0,76.0,0.0,0.02,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-18 17:00:00+00:00,2025-11-18 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -CAPE-DA-6864,Capel Switching Station,Day Ahead,2025-11-18T08:00:00+00:00,2025-11-18T10:00:00+00:00,0.0,0.018,0.0,40.0,0.0,0.04,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-18 08:00:00+00:00,2025-11-18 10:00:00+00:00,08:00:00+00:00
OVO Energy,OVO -CAPE-DA-6864,Capel Switching Station,Day Ahead,2025-11-17T17:00:00+00:00,2025-11-17T19:00:00+00:00,0.0,0.032,0.0,40.0,0.0,0.06,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-17 17:00:00+00:00,2025-11-17 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -REED-DA-3125,Reed,Day Ahead,2025-11-17T17:00:00+00:00,2025-11-17T19:00:00+00:00,0.0,0.01,0.0,11.0,0.0,0.02,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-17 17:00:00+00:00,2025-11-17 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -THAX-DA-5D0B,Thaxted Local,Day Ahead,2025-11-17T17:00:00+00:00,2025-11-17T19:00:00+00:00,0.0,0.01,0.0,7.0,0.0,0.02,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-17 17:00:00+00:00,2025-11-17 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -W. W-DA-3AC4,W. Weybridge,Day Ahead,2025-11-17T13:00:00+00:00,2025-11-17T15:00:00+00:00,0.0,0.017,0.0,29.0,0.0,0.04,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-17 13:00:00+00:00,2025-11-17 15:00:00+00:00,13:00:00+00:00
Axle Energy Limited,thorpe-grid-33-lt_saou-ev-c1-portfolio,Thorpe Grid 33,Day Ahead,2025-11-17T12:30:00+00:00,2025-11-17T13:00:00+00:00,0.0,0.04,0.0,79.0,0.0,0.02,EV Charger DSR,demand_turn_down,0.5,epex,2025-11-17 12:30:00+00:00,2025-11-17 13:00:00+00:00,12:30:00+00:00
Axle Energy Limited,halstead-da-ev-portfolio,Halstead,Day Ahead,2025-11-14T18:00:00+00:00,2025-11-14T19:00:00+00:00,0.0,0.03,0.0,598.0,0.0,0.03,EV Charger DSR,demand_turn_down,1.0,epex,2025-11-14 18:00:00+00:00,2025-11-14 19:00:00+00:00,18:00:00+00:00
OVO Energy,OVO -GODM-DA-E102,Godmanchester,Day Ahead,2025-11-14T17:00:00+00:00,2025-11-14T19:00:00+00:00,0.0,0.017,0.0,336.0,0.0,0.03,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-14 17:00:00+00:00,2025-11-14 19:00:00+00:00,17:00:00+00:00
Axle Energy Limited,godmanchester-da-ev-portfolio,Godmanchester,Day Ahead,2025-11-14T17:00:00+00:00,2025-11-14T19:00:00+00:00,0.0,0.02,0.0,334.0,0.0,0.04,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-14 17:00:00+00:00,2025-11-14 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -TAKE-DA-F795,Takeley,Day Ahead,2025-11-14T17:00:00+00:00,2025-11-14T19:00:00+00:00,0.0,0.01,0.0,478.0,0.0,0.02,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-14 17:00:00+00:00,2025-11-14 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -WARE-DA-93E8,Warehorne Kenardington Tenterden Wittersham,Day Ahead,2025-11-14T17:00:00+00:00,2025-11-14T19:00:00+00:00,0.0,0.019,0.0,16.0,0.0,0.04,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-14 17:00:00+00:00,2025-11-14 19:00:00+00:00,17:00:00+00:00
ev.energy,EV.E-WEST-SAOU-1D04,West Letchworth Shefford Biggleswade,Day Ahead,2025-11-14T16:00:00+00:00,2025-11-14T18:00:00+00:00,0.0,0.078,0.0,130.0,0.0,0.16,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-14 16:00:00+00:00,2025-11-14 18:00:00+00:00,16:00:00+00:00
Axle Energy Limited,laxfield-lt_saou-ev-c1-portfolio,Laxfield,Day Ahead,2025-11-14T13:00:00+00:00,2025-11-14T14:00:00+00:00,0.0,0.01,0.0,96.0,0.0,0.01,EV Charger DSR,demand_turn_down,1.0,epex,2025-11-14 13:00:00+00:00,2025-11-14 14:00:00+00:00,13:00:00+00:00
Axle Energy Limited,thorpe-grid-33-lt_saou-ev-c1-portfolio,Thorpe Grid 33,Day Ahead,2025-11-14T12:30:00+00:00,2025-11-14T14:00:00+00:00,0.0,0.04,0.0,79.0,0.0,0.06,EV Charger DSR,demand_turn_down,1.5,epex,2025-11-14 12:30:00+00:00,2025-11-14 14:00:00+00:00,12:30:00+00:00
ev.energy,EV.E-THOR-SAOU-F901,Thorpe Grid 33,Day Ahead,2025-11-14T12:30:00+00:00,2025-11-14T14:00:00+00:00,0.0,0.09,0.0,80.0,0.0,0.14,EV Charger DSR,demand_turn_down,1.5,epex,2025-11-14 12:30:00+00:00,2025-11-14 14:00:00+00:00,12:30:00+00:00
OVO Energy,OVO -THOR-DA-4D70,Thorpe Grid 33,Day Ahead,2025-11-14T12:00:00+00:00,2025-11-14T14:00:00+00:00,0.0,0.043,0.0,80.0,0.0,0.09,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-14 12:00:00+00:00,2025-11-14 14:00:00+00:00,12:00:00+00:00
Axle Energy Limited,godmanchester-lt_saou-ev-c1-portfolio,Godmanchester,Day Ahead,2025-11-13T17:00:00+00:00,2025-11-13T19:00:00+00:00,0.0,0.018,0.0,195.0,0.0,0.04,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-13 17:00:00+00:00,2025-11-13 19:00:00+00:00,17:00:00+00:00
Axle Energy Limited,takeley-da-ev-portfolio,Takeley,Day Ahead,2025-11-13T17:00:00+00:00,2025-11-13T19:00:00+00:00,0.0,0.04,0.0,476.0,0.0,0.08,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-13 17:00:00+00:00,2025-11-13 19:00:00+00:00,17:00:00+00:00
Axle Energy Limited,tunbridge-wells-pembury-lt_saou-ev-c1-portfolio,Tunbridge Wells-Pembury,Day Ahead,2025-11-13T17:00:00+00:00,2025-11-13T19:00:00+00:00,0.0,0.062,0.0,103.0,0.0,0.12,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-13 17:00:00+00:00,2025-11-13 19:00:00+00:00,17:00:00+00:00
Electric Miles Ltd,544A-TUNB-DA-3812,Tunbridge Wells-Pembury,Day Ahead,2025-11-13T17:00:00+00:00,2025-11-13T19:00:00+00:00,0.0,0.028,0.0,100.0,0.0,0.06,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-13 17:00:00+00:00,2025-11-13 19:00:00+00:00,17:00:00+00:00
Electric Miles Ltd,544A-MANT-DA-B3FC,Manton Lane,Day Ahead,2025-11-12T18:00:00+00:00,2025-11-12T20:00:00+00:00,0.0,0.014,0.0,599.0,0.0,0.03,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-12 18:00:00+00:00,2025-11-12 20:00:00+00:00,18:00:00+00:00
Ohme,WKTW,Warehorne Kenardington Tenterden Wittersham,Day Ahead,2025-11-12T17:00:00+00:00,2025-11-12T19:00:00+00:00,0.0,0.06,0.0,16.0,0.0,0.12,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-12 17:00:00+00:00,2025-11-12 19:00:00+00:00,17:00:00+00:00
ev.energy,EV.E-WEST-SAOU-1D04,West Letchworth Shefford Biggleswade,Day Ahead,2025-11-12T16:00:00+00:00,2025-11-12T18:00:00+00:00,0.0,0.078,0.0,130.0,0.0,0.16,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-12 16:00:00+00:00,2025-11-12 18:00:00+00:00,16:00:00+00:00
Axle Energy Limited,brandon-da-ev-portfolio,Brandon,Day Ahead,2025-11-12T11:00:00+00:00,2025-11-12T12:00:00+00:00,0.0,0.03,0.0,598.0,0.0,0.03,EV Charger DSR,demand_turn_down,1.0,epex,2025-11-12 11:00:00+00:00,2025-11-12 12:00:00+00:00,11:00:00+00:00
Axle Energy Limited,tunbridge-wells-pembury-lt_saou-ev-c2-portfolio,Tunbridge Wells-Pembury,Day Ahead,2025-11-07T17:00:00+00:00,2025-11-07T19:00:00+00:00,0.0,0.09,0.0,103.0,0.0,0.18,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-07 17:00:00+00:00,2025-11-07 19:00:00+00:00,17:00:00+00:00
Axle Energy Limited,manton-lane-da-ev-portfolio,Manton Lane,Day Ahead,2025-11-06T18:00:00+00:00,2025-11-06T20:00:00+00:00,0.0,0.08,0.0,598.0,0.0,0.16,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-06 18:00:00+00:00,2025-11-06 20:00:00+00:00,18:00:00+00:00
ev.energy,EV.E-WEST-SAOU-1D04,West Letchworth Shefford Biggleswade,Day Ahead,2025-11-05T16:00:00+00:00,2025-11-05T18:00:00+00:00,0.0,0.078,0.0,130.0,0.0,0.16,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-05 16:00:00+00:00,2025-11-05 18:00:00+00:00,16:00:00+00:00
Axle Energy Limited,thorpe-grid-33-lt_saou-ev-c1-portfolio,Thorpe Grid 33,Day Ahead,2025-11-05T12:30:00+00:00,2025-11-05T13:00:00+00:00,0.0,0.04,0.0,79.0,0.0,0.02,EV Charger DSR,demand_turn_down,0.5,epex,2025-11-05 12:30:00+00:00,2025-11-05 13:00:00+00:00,12:30:00+00:00
Axle Energy Limited,thorpe-grid-33-lt_saou-ev-c2-portfolio,Thorpe Grid 33,Day Ahead,2025-11-05T12:30:00+00:00,2025-11-05T13:00:00+00:00,0.0,0.063,0.0,79.0,0.0,0.03,EV Charger DSR,demand_turn_down,0.5,epex,2025-11-05 12:30:00+00:00,2025-11-05 13:00:00+00:00,12:30:00+00:00
Electric Miles Ltd,544A-W. W-DA-B2EA,W. Weybridge,Day Ahead,2025-11-04T13:00:00+00:00,2025-11-04T15:00:00+00:00,0.0,0.021,0.0,29.0,0.0,0.04,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-04 13:00:00+00:00,2025-11-04 15:00:00+00:00,13:00:00+00:00
ev.energy,EV.E-TROW-DA-2337,Trowse Grid 33,Day Ahead,2025-11-03T17:30:00+00:00,2025-11-03T19:30:00+00:00,0.0,0.03,0.0,240.0,0.0,0.06,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-03 17:30:00+00:00,2025-11-03 19:30:00+00:00,17:30:00+00:00
OVO Energy,OVO -WADD-DA-5CED,Waddesdon,Day Ahead,2025-11-03T13:00:00+00:00,2025-11-03T15:00:00+00:00,0.0,0.011,0.0,96.0,0.0,0.02,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-03 13:00:00+00:00,2025-11-03 15:00:00+00:00,13:00:00+00:00
ev.energy,EV.E-THOR-SAOU-F901,Thorpe Grid 33,Day Ahead,2025-11-03T12:30:00+00:00,2025-11-03T13:00:00+00:00,0.0,0.09,0.0,80.0,0.0,0.04,EV Charger DSR,demand_turn_down,0.5,epex,2025-11-03 12:30:00+00:00,2025-11-03 13:00:00+00:00,12:30:00+00:00
Axle Energy Limited,brandon-da-ev-portfolio,Brandon,Day Ahead,2025-11-03T11:00:00+00:00,2025-11-03T12:00:00+00:00,0.0,0.02,0.0,598.0,0.0,0.02,EV Charger DSR,demand_turn_down,1.0,epex,2025-11-03 11:00:00+00:00,2025-11-03 12:00:00+00:00,11:00:00+00:00
Axle Energy Limited,march-primary-da-ev-portfolio,March Primary,Day Ahead,2025-11-03T11:00:00+00:00,2025-11-03T11:30:00+00:00,0.0,0.03,0.0,324.0,0.0,0.02,EV Charger DSR,demand_turn_down,0.5,epex,2025-11-03 11:00:00+00:00,2025-11-03 11:30:00+00:00,11:00:00+00:00
OVO Energy,OVO -MARC-DA-7900,March Primary,Day Ahead,2025-11-03T11:00:00+00:00,2025-11-03T11:30:00+00:00,0.0,0.01,0.0,326.0,0.0,0.0,EV Charger DSR,demand_turn_down,0.5,epex,2025-11-03 11:00:00+00:00,2025-11-03 11:30:00+00:00,11:00:00+00:00
OVO Energy,OVO -CAPE-DA-6864,Capel Switching Station,Day Ahead,2025-11-03T08:00:00+00:00,2025-11-03T10:00:00+00:00,0.0,0.018,0.0,40.0,0.0,0.04,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-03 08:00:00+00:00,2025-11-03 10:00:00+00:00,08:00:00+00:00
Axle Energy Limited,west-letchworth-shefford-biggleswade-da-ev-portfolio,West Letchworth Shefford Biggleswade,Day Ahead,2025-10-31T11:00:00+00:00,2025-10-31T12:00:00+00:00,0.0,0.17,0.0,598.0,0.0,0.17,EV Charger DSR,demand_turn_down,1.0,epex,2025-10-31 11:00:00+00:00,2025-10-31 12:00:00+00:00,11:00:00+00:00
OVO Energy,OVO -WEST-DA-5439,West Letchworth Shefford Biggleswade,Day Ahead,2025-10-31T11:00:00+00:00,2025-10-31T12:00:00+00:00,0.0,0.033,0.0,600.0,0.0,0.03,EV Charger DSR,demand_turn_down,1.0,epex,2025-10-31 11:00:00+00:00,2025-10-31 12:00:00+00:00,11:00:00+00:00
OVO Energy,OVO -MANT-DA-D3E7,Manton Lane,Day Ahead,2025-10-28T18:30:00+00:00,2025-10-28T20:00:00+00:00,0.0,0.027,0.0,600.0,0.0,0.04,EV Charger DSR,demand_turn_down,1.5,epex,2025-10-28 18:30:00+00:00,2025-10-28 20:00:00+00:00,18:30:00+00:00
OVO Energy,OVO -MANT-DA-D3E7,Manton Lane,Day Ahead,2025-10-28T18:00:00+00:00,2025-10-28T18:30:00+00:00,0.0,0.027,0.0,600.0,0.0,0.01,EV Charger DSR,demand_turn_down,0.5,epex,2025-10-28 18:00:00+00:00,2025-10-28 18:30:00+00:00,18:00:00+00:00
Electric Miles Ltd,544A-MANT-DA-B3FC,Manton Lane,Day Ahead,2025-10-28T18:00:00+00:00,2025-10-28T18:30:00+00:00,0.0,0.014,0.0,590.0,0.0,0.01,EV Charger DSR,demand_turn_down,0.5,epex,2025-10-28 18:00:00+00:00,2025-10-28 18:30:00+00:00,18:00:00+00:00
Axle Energy Limited,trowse-grid-33-da-ev-portfolio,Trowse Grid 33,Day Ahead,2025-10-28T17:30:00+00:00,2025-10-28T19:30:00+00:00,0.0,0.38,0.0,238.0,0.0,0.76,EV Charger DSR,demand_turn_down,2.0,epex,2025-10-28 17:30:00+00:00,2025-10-28 19:30:00+00:00,17:30:00+00:00
Electric Miles Ltd,Trowse,Trowse Grid 33,Day Ahead,2025-10-28T17:30:00+00:00,2025-10-28T19:30:00+00:00,0.0,0.021,0.0,240.0,0.0,0.04,EV Charger DSR,demand_turn_down,2.0,epex,2025-10-28 17:30:00+00:00,2025-10-28 19:30:00+00:00,17:30:00+00:00
OVO Energy,OVO -TROW-DA-158F,Trowse Grid 33,Day Ahead,2025-10-28T17:30:00+00:00,2025-10-28T19:30:00+00:00,0.0,0.102,0.0,240.0,0.0,0.2,EV Charger DSR,demand_turn_down,2.0,epex,2025-10-28 17:30:00+00:00,2025-10-28 19:30:00+00:00,17:30:00+00:00
Axle Energy Limited,west-letchworth-shefford-biggleswade-da-ev-portfolio,West Letchworth Shefford Biggleswade,Day Ahead,2025-10-28T16:30:00+00:00,2025-10-28T18:00:00+00:00,0.0,0.17,0.0,598.0,0.0,0.26,EV Charger DSR,demand_turn_down,1.5,epex,2025-10-28 16:30:00+00:00,2025-10-28 18:00:00+00:00,16:30:00+00:00
ev.energy,EV.E-WEST-DA-D80E,West Letchworth Shefford Biggleswade,Day Ahead,2025-10-28T16:00:00+00:00,2025-10-28T18:00:00+00:00,0.0,0.02,0.0,600.0,0.0,0.04,EV Charger DSR,demand_turn_down,2.0,epex,2025-10-28 16:00:00+00:00,2025-10-28 18:00:00+00:00,16:00:00+00:00
OVO Energy,OVO -TROW-DA-158F,Trowse Grid 33,Day Ahead,2025-10-27T17:30:00+00:00,2025-10-27T19:30:00+00:00,0.0,0.103,0.0,240.0,0.0,0.21,EV Charger DSR,demand_turn_down,2.0,epex,2025-10-27 17:30:00+00:00,2025-10-27 19:30:00+00:00,17:30:00+00:00
Electric Miles Ltd,Trowse,Trowse Grid 33,Day Ahead,2025-10-27T17:30:00+00:00,2025-10-27T19:30:00+00:00,0.0,0.021,0.0,240.0,0.0,0.04,EV Charger DSR,demand_turn_down,2.0,epex,2025-10-27 17:30:00+00:00,2025-10-27 19:30:00+00:00,17:30:00+00:00
OVO Energy,OVO -CAPE-DA-6864,Capel Switching Station,Day Ahead,2025-10-27T17:00:00+00:00,2025-10-27T19:00:00+00:00,0.0,0.032,0.0,40.0,0.0,0.06,Flexible Site Demand,demand_turn_down,2.0,epex,2025-10-27 17:00:00+00:00,2025-10-27 19:00:00+00:00,17:00:00+00:00
Axle Energy Limited,sevington-total-da-ev-portfolio,Sevington Total,Day Ahead,2025-10-27T17:00:00+00:00,2025-10-27T19:00:00+00:00,0.0,0.05,0.0,262.0,0.0,0.1,EV Charger DSR,demand_turn_down,2.0,epex,2025-10-27 17:00:00+00:00,2025-10-27 19:00:00+00:00,17:00:00+00:00
